lon,lat,xp,yp,Product,Yld Vol(Dry)(bu/ac),Count,Year,G,R,NIR,SIR1,SIR2,TIR1,TIR2,NDVI,NDWI2,NDWI1
-,-,-,-,['SOYBEANS'],5193.189999999999,78,2016,8578,7087,23057,12406,8255,27267,24948,0.5297903397027601,0.457689268215584,0.4727261113949923
-,-,-,-,['SOYBEANS'],300.68,5,2016,8654,7511,21696,13116,9055,27639,25266,0.48567124319512445,0.42971993410214165,0.41107606256707097
-,-,-,-,['CORN'],25183.95,112,2016,7959,8126,10744,13108,10284,27683,25184,0.13873873873873874,0.14890659252526334,0.021875594445501235
-,-,-,-,['CORN'],21021.799999999996,95,2016,7986,8147,10658,13073,10317,27577,25130,0.13352831693698483,0.14331688478867197,0.01625744934445769
-,-,-,-,['CORN'],24330.160000000003,110,2016,8015,8205,10568,13037,10319,27476,25056,0.12587226335694882,0.13738363019964484,0.011921290755015081
-,-,-,-,['CORN'],24133.96999999999,109,2016,8465,7186,21587,12412,8384,27743,25377,0.5005039446703506,0.43664315187009184,0.4405258416469254
-,-,-,-,"['SOYBEANS', 'CORN']",8000.450000000001,77,2016,8049,8201,11462,13298,10091,27180,24812,0.16584447947922493,0.17492696427656193,0.06361063425045237
-,-,-,-,['SOYBEANS'],6539.790000000003,132,2016,7721,6998,16454,11108,7904,27124,24859,0.40320654954801294,0.3612409513960703,0.35101404056162244
-,-,-,-,['CORN'],20823.930000000004,99,2016,8012,8258,10811,13221,10244,27375,25042,0.13388221721118046,0.14870105721723423,0.02692947043457611
-,-,-,-,['CORN'],17399.24,83,2016,7848,7980,10288,12978,10107,27331,24984,0.12634114298226407,0.1345390383767093,0.008874724197107135
-,-,-,-,['CORN'],16073.559999999994,85,2016,8678,7323,21493,12392,8345,27442,25050,0.49174069961132705,0.4247456166517517,0.440646155908573
-,-,-,-,['SOYBEANS'],3674.749999999999,70,2016,9716,9625,17565,15446,11562,27808,25403,0.2920191246781905,0.28770939481690555,0.20609743536924502
-,-,-,-,['CORN'],16383.259999999998,88,2016,8104,6819,24260,12558,8186,27118,24933,0.5611827922391326,0.49919663824001975,0.49540775442273316
-,-,-,-,['SOYBEANS'],5491.6900000000005,80,2016,8623,7245,22464,12411,8412,27821,25374,0.5122690093910937,0.44523434232959114,0.455110765643218
-,-,-,-,['CORN'],14719.230000000001,62,2016,8107,8204,11444,12556,9721,27186,24897,0.16490228013029315,0.17068180655720935,0.08140798488069927
-,-,-,-,['SOYBEANS'],4168.09,81,2016,8104,8112,11819,12328,9435,27203,24923,0.18599167126586724,0.18646790142046882,0.11216712148301496
-,-,-,-,['CORN'],17223.8,81,2016,8495,7376,20255,12601,8622,27610,25236,0.4661069089066628,0.40904347826086956,0.4028465560826956
-,-,-,-,['CORN'],28487.890000000003,115,2016,7962,7919,11305,11966,9253,27237,24862,0.17613399916770703,0.17350910883894743,0.09981515711645102
-,-,-,-,['SOYBEANS'],6737.1500000000015,100,2016,8081,8036,12288,12250,9212,27632,25337,0.2092107852784885,0.20653934901075163,0.14306976744186045
-,-,-,-,['SOYBEANS'],4743.340000000001,75,2016,8442,6990,23909,12684,8328,27350,25045,0.54755817340367,0.4780995950666131,0.4833266122778174
-,-,-,-,['CORN'],20957.78,92,2016,8306,7612,16674,12548,9191,27539,25132,0.3731367866260397,0.33498799039231386,0.28930987821380244
-,-,-,-,['SOYBEANS'],3472.810000000001,61,2016,7850,7923,10472,12757,9931,27505,25114,0.1385702636586029,0.14310664774587928,0.026515708474243983
-,-,-,-,['CORN'],20557.809999999998,90,2016,8083,8263,11509,13430,10307,27380,25050,0.16417155573538336,0.17486729277256022,0.0550971763843051
-,-,-,-,['CORN'],19840.419999999995,87,2016,8074,8296,11325,13121,10323,27611,25140,0.1543754140971408,0.16758595803907417,0.046286031042128604
-,-,-,-,['SOYBEANS'],3717.9100000000008,67,2016,8935,8846,14251,14048,10745,27722,25334,0.23401307529116336,0.22927628741481929,0.14026244199071852
-,-,-,-,['CORN'],28607.059999999994,124,2016,8112,8260,10859,13331,10496,27573,25147,0.1359380720748993,0.14479995783037267,0.016998361039569188
-,-,-,-,['SOYBEANS'],6835.480000000002,108,2016,8411,6987,23356,12441,8243,27232,24976,0.5394654450779421,0.4704567633078352,0.47827462894395395
-,-,-,-,['CORN'],16993.31,80,2016,8020,8269,10808,13226,10263,27388,25028,0.13309220527336582,0.14807733163373699,0.025864932846091784
-,-,-,-,['SOYBEANS'],7783.477999999998,132,2016,11398,13294,18917,22260,16724,29324,26556,0.174567694265934,0.24802902853372918,0.0615302600937123
-,-,-,-,['SOYBEANS'],5781.408999999999,113,2016,8114,7621,14855,12377,8932,27163,24961,0.3218544224951059,0.29348251991815055,0.249001555471476
-,-,-,-,['SOYBEANS'],5040.9439999999995,83,2016,8803,8394,16168,13448,9828,27668,25283,0.31650517058871425,0.294942132874134,0.24388367441144793
-,-,-,-,['SOYBEANS'],4029.6600000000003,66,2016,7873,7689,12461,12053,9070,27196,24913,0.23682382133995036,0.22563194649355758,0.15749384608239284
-,-,-,-,['SOYBEANS'],5022.339999999998,79,2016,8651,7167,23068,12495,8346,27295,25003,0.5259136762030759,0.4545225259308301,0.4686445533838416
-,-,-,-,['CORN'],19308.050000000003,90,2016,7989,8132,10959,13080,10192,27584,25108,0.14808024723691793,0.15674477517416086,0.03626306084818685
-,-,-,-,['SOYBEANS'],3220.7099999999996,50,2016,8098,8176,11550,12869,10147,27416,25098,0.1710432931156849,0.17569218241042345,0.06466331750933309
-,-,-,-,['CORN'],27456.77,112,2016,8109,8127,11880,12312,9454,27163,24886,0.18758434547908232,0.18865375956776226,0.1137151964001125
-,-,-,-,['CORN'],19546.67,85,2016,8437,7084,21502,12193,8239,27564,25147,0.5043727698873575,0.4363873208858011,0.4459500353047981
-,-,-,-,['CORN'],21556.979999999992,94,2016,7981,8153,10568,13047,10328,27521,25090,0.12899951925644998,0.13946843495606231,0.011485451761102604
